"NAME","NATURAL_NODE_NAME","DESCRIPTION","ASSOCIATED_LE","ASSOCIATED_BU","GAAP_GL_BOOK_OF_RECORD","OG_LEGACY_ERP_SOURCE","OG_LEGACY_ERP_SOURCE_DESC"
"LB_H601","H601","OG1126_OGHQTR_Baker Hughes Netherlands Holdings I B.V.","LE_OG1126","BU_OGHQTR","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_H602","H602","OG1127_OGHQTR_Baker Hughes Netherlands Holdings II B.V.","LE_OG1127","BU_OGHQTR","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_H603","H603","OG1128_OGHQTR_Baker Hughes Global Holdings B.V.","LE_OG1128","BU_OGHQTR","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_H129","H129","IF1222_OGHQTR Baker Hughes Energy Technology UK Limited","LE_IF1222","BU_OGHQTR","GL_GLG06","OE_GLG06005","Oracle Pascal"
"LB_H385","H385","CP1049_OGHQTR_GE Rus Infra LLC","LE_CP1049","BU_OGHQTR","GL_GL034","OE_GL034001","CCL Classic - CO Strategic"
"LB_275H","275H","BH2750_OGHQTR_International Professional Resources (Europe) B.V.","LE_BH2750","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_283H","283H","BH2830_OGHQTR_Limited Liability Company Tyumen Plant of Oilfield Equipment","LE_BH2830","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_283Q","283Q","BH2830_OGHQTR_Limited Liability Company Tyumen Plant of Oilfield Equipment","LE_BH2830","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_094F","094F","BH2869_OGHQTR_Quick Wells Ltd.","LE_BH2869","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_003F","003F","BH1031_OGHQTR_Baker Hughes Canada Company","LE_BH1031","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_105H","105H","BH1050_OGHQTR_Baker Process LLC","LE_BH1050","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_R624","R624","OG1134_OGDRIL_Baker Hughes US Energy Holdings LLC","LE_OG1134","BU_OGDRIL","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_R677","R677","IF1832_OGDRIL_GE Oil & Gas Pressure Control LP","LE_IF1832","BU_OGDRIL","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_R668","R668","IF1833_OGDRIL_GE Oil & Gas Pressure Control Limited","LE_IF1833","BU_OGDRIL","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
