"LE_ID","OWNER_LE_ID"
"BH9082","BH5020"
"BH9083","BH5040"
"BH9084","BH5040"
"BH9085","BH5040"
"BH9086","BH5420"
"BH9087","BH5420"
"BH9088","BH6170"
"BH9089","BH6225"
"BH9090","BH6225"
"BH9091","BH7005"
"BH9092","BH7030"
"BH9093","BH7030"
"BH9094","BH7030"
"BH9095","BH7030"
"BH9096","BH7030"
"BH9097","BH7030"
"BH9098","BH7030"
"BH9099","BH7030"
"BH9100","BH7030"
"BH9101","BH7030"
"BH9102","BH7030"
"BH9103","BH7030"
"BH9104","BH7030"
"BH9105","BH7030"
"BH9106","BH7030"
"BH9107","BH7030"
"BH9108","BH7030"
"BH9109","BH7030"
"BH9110","BH7030"
"BH9111","BH7030"
"BH9112","BH7030"
"BH9113","BH7045"
"BH9114","BH7045"
"BH9117","BH7045"
"BH9118","BH7045"
"BH9119","BH7045"
"BH9120","BH7045"
"BH9121","BH7065"
"BH9122","BH7250"
"BH9123","BH7250"
"BH9124","BH7777"
"BR1162","PS0077"
"BR1163","PS0077"
"BR1164","PS0077"
"BR1165","PS0077"
"BR1166","PS0077"
"BR1167","PS0077"
"BR1168","PS0077"
"BR2021","I10234"
"BR2024","I10234"
"BR2028","I10234"
"BR2031","I10234"
"BR2033","DRS004"
"BR2035","DRS004"
"BR2038","IF1832"
"BR2044","IF1241"
"BR2055","IF1544"
"BR2066","I10234"
"BR2067","I10234"
"BR2069","I10234"
"BR2071","I10234"
"BR2072","I10234"
"BR2074","IF1815"
"BR2075","I10234"
"BR2088","I10234"
"BR2091","I10234"
"BR2097","IF1241"
"BR2099","I10234"
"BR2100","I10234"
"BR2101","IF1818"
"BR2106","I10435"
"BR2114","CS1212"
"BR2118","I10234"
"BR2119","I10234"
"BR2120","I10234"
"BR2121","I10234"
"BR2124","IF1826"
"BR2125","I10234"
"BR2128","I10234"
"BR2137","I10234"
"BR2139","I10234"
"BR2141","IF1810"
"BR2280","IF1793"
"BR2281","IF1793"
"BR2282","IF1793"
"BR2286","PS0077"
"BR2288","PS0077"
"BR2291","I10234"
"BR2316","I10234"
"BR2331","I10234"
"BR2332","IF1218"
"BR2333","I10234"
"BR2346","I10234"
"BR2361","IF1810"
"BR2380","I10234"
"BR2389","I10234"
"BR2390","DRS360"
"BR2393","DRS438"
"BR2398","IS0096"
"BR2430","DRS360"
"BR2439","I10234"
"BR2440","I10234"
"BR2448","I10234"
"BR2450","IF1793"
"BR2457","I10234"
"BR2458","IF1222"
"BR2471","AL7867"
"BR2472","I10234"
"BR2479","IF1841"
"BR2482","OG1106"
"BR2485","I10234"
"BR2487","BH1465"
"BR2491","I10234"
"BR2493","IF1241"
"BR2494","I10234"
"BR2495","I10234"
"BR2497","I10234"
"BR2502","I10234"
"BR2503","BH5315"
"BR2504","BH5315"
"BR2505","BH5315"
"BR2506","BH5315"
"BR2508","BH5315"
"BR2509","BH5425"
"BR2511","I10234"
"BR2512","BH1305"
"BR2515","I10234"
"BR2516","I10234"
"BR2517","I10234"
"BR2520","I10234"
"BR2547","I10234"
"BR2548","I10234"
"BR2550","I10234"
"BR2581","BH2655"
"BR2584","I10234"
"BR2585","I10234"
"BR2603","IS0096"
"BR2604","BH2720"
"BR2615","I10234"
"BR2629","I10234"
"BR2636","I10234"
"BR2647","AE0027"
"BR2651","I10234"
