"NAME","NATURAL_NODE_NAME","DESCRIPTION","ASSOCIATED_LB","ASSOCIATED_LE","ASSOCIATED_BU"
"RF_230D01","230D01","RUS-AZ-BAKER-LB_230D","LB_230D","LE_BH9020","BU_OGMEAS"
"RF_265101","265101","RUS-AZ-BAKER-LB_2651","LB_2651","LE_BH9066","BU_OGDRIL"
"RF_265D01","265D01","RUS-AZ-BAKER-LB_265D","LB_265D","LE_BH9066","BU_OGMEAS"
"RF_H00601","H00601","RUS-KZ-Astana-01-colo_ME_LB_HQKZ1","LB_H006","LE_BR1119","BU_OGHQTR"
"RF_H04601","H04601","RUS-KZ-Astana-01-colo_LE_BR2024","LB_H046","LE_BR2024","BU_OGHQTR"
"RF_H07105","H07105","RUS-KZ-Astana-West-Kazakhstan Oblast, Burlin Reg, Aksai city, 10 microdistrict, House 27, office 312_BR2024-H071","LB_H071","LE_I10234","BU_OGHQTR"
"RF_H15601","H15601","RUS-KZ-Astana-01-colo_LE_IF1653","LB_H156","LE_IF1653","BU_OGHQTR"
"RF_M02505","M02505","RUS-KZ-Astana-West-Kazakhstan Oblast, Burlin Reg, Aksai city, 10 microdistrict, House 27, office 312_BR2024-M025","LB_M025","LE_I10234","BU_OGMEAS"
"RF_M11401","M11401","RUS-KZ-Astana-01-colo_ME_LB_B371","LB_M114","LE_BR1119","BU_OGMEAS"
"RF_M11501","M11501","RUS-KZ-Astana-01-colo_ME_LB_SIGEI","LB_M115","LE_BR1119","BU_OGMEAS"
"RF_M43505","M43505","RUS-KZ-Astana-West-Kazakhstan Oblast, Burlin Reg, Aksai city, 10 microdistrict, House 27, office 312_BR2024-M435","LB_M435","LE_I10234","BU_OGMEAS"
"RF_R26701","R26701","RUS-KZ-Astana-01-colo_ME_LB_KZAL1","LB_R267","LE_CP1246","BU_OGDRIL"
"RF_R29201","R29201","RUS-KZ-Astana-01-colo_LE_BR1119","LB_R292","LE_BR1119","BU_OGDRIL"
"RF_R29301","R29301","RUS-KZ-Astana-01-colo_ME_LB_INKZ4","LB_R293","LE_BR1119","BU_OGTBMS"
"RF_R33605","R33605","RUS-KZ-Astana-West-Kazakhstan Oblast, Burlin Reg, Aksai city, 10 microdistrict, House 27, office 312_BR2024-R336","LB_R336","LE_I10234","BU_OGSUBS"
"RF_S10301","S10301","RUS-KZ-Astana-01-colo_LE_IF1653","LB_S103","LE_IF1653","BU_OGSUBS"
